Info 0    [22:33:49.641] Starting TS Server
Info 1    [22:33:49.642] Version: 4.6.2
Info 2    [22:33:49.642] Arguments: /usr/local/bin/node /home/lenovo/.npm-global/lib/node_modules/typescript/lib/tsserver.js --logFile /home/lenovo/Playground/interviewbit-concepts/.log/tsserver.log --logVerbosity info --cancellationPipeName /tmp/418c0cde684d01103ae04fc96a73e2ad/tscancellation*
Info 3    [22:33:49.642] Platform: linux NodeVersion: 14 CaseSensitive: true
Info 4    [22:33:49.642] ServerMode: undefined syntaxOnly: false hasUnknownServerMode: undefined
Info 5    [22:33:49.650] Format host information updated
Info 6    [22:33:49.656] Search path: /home/lenovo/Playground/interviewbit-concepts/Try-Your-Code
Info 7    [22:33:49.656] For info: /home/lenovo/Playground/interviewbit-concepts/Try-Your-Code/zAlgorithm.js :: No config files found.
Info 8    [22:33:49.659] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 9    [22:33:50.704] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 1 structureChanged: true structureIsReused:: Not Elapsed: 1044.8488290011883ms
Info 10   [22:33:50.704] Project '/dev/null/inferredProject1*' (Inferred)
Info 11   [22:33:50.704] 	Files (19)

Info 12   [22:33:50.704] -----------------------------------------------
Info 13   [22:33:53.700] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 14   [22:33:53.717] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 2 structureChanged: false structureIsReused:: Completely Elapsed: 16.159500002861023ms
Info 15   [22:33:53.717] Different program with same set of files
Info 16   [22:33:59.410] Search path: /home/lenovo/Playground/interviewbit-concepts/Try-Your-Code
Info 17   [22:33:59.411] For info: /home/lenovo/Playground/interviewbit-concepts/Try-Your-Code/zAlgorithm.js :: No config files found.
Info 18   [22:33:59.411] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 19   [22:33:59.416] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 3 structureChanged: false structureIsReused:: Completely Elapsed: 4.8790119886398315ms
Info 20   [22:33:59.416] Project '/dev/null/inferredProject1*' (Inferred)
Info 21   [22:33:59.416] 	Files (19)

Info 22   [22:33:59.416] -----------------------------------------------
Info 23   [22:40:26.748] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 24   [22:40:26.757] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 4 structureChanged: false structureIsReused:: Completely Elapsed: 9.55748000741005ms
Info 25   [22:40:26.757] Different program with same set of files
Info 26   [23:47:12.076] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 27   [23:47:12.089] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 5 structureChanged: false structureIsReused:: Completely Elapsed: 11.494554996490479ms
Info 28   [23:47:12.089] Different program with same set of files
Info 29   [23:47:12.326] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 30   [23:47:12.334] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 6 structureChanged: false structureIsReused:: Completely Elapsed: 7.961977988481522ms
Info 31   [23:47:12.334] Different program with same set of files
Info 32   [23:47:12.892] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 33   [23:47:12.900] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 7 structureChanged: false structureIsReused:: Completely Elapsed: 7.555572003126144ms
Info 34   [23:47:12.900] Different program with same set of files
Info 35   [23:47:14.611] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 36   [23:47:14.625] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 8 structureChanged: false structureIsReused:: Completely Elapsed: 13.915861994028091ms
Info 37   [23:47:14.625] Different program with same set of files
